"Goals_Total_name","Goals_Total_Player","Goals_Total_Player_url","Goals_Total_Team","Goals_Total_Team_url","Goals_Total_Years","Goals_Total_MP_Total"
"454","Andrew Wiggins","https://www.basketball-reference.com/players/w/wiggian01.html","CLE","https://www.basketball-reference.com/teams/CLE/draft.html","6","16242"
"285","Jabari Parker","https://www.basketball-reference.com/players/p/parkeja01.html","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","6","8258"
"209","Joel Embiid","https://www.basketball-reference.com/players/e/embiijo01.html","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","4","6358"
"403","Aaron Gordon","https://www.basketball-reference.com/players/g/gordoaa01.html","ORL","https://www.basketball-reference.com/teams/ORL/draft.html","6","11517"
"239","Dante Exum","https://www.basketball-reference.com/players/e/exumda01.html","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","5","4429"
"401","Marcus Smart","https://www.basketball-reference.com/players/s/smartma01.html","BOS","https://www.basketball-reference.com/teams/BOS/draft.html","6","11607"
"375","Julius Randle","https://www.basketball-reference.com/players/r/randlju01.html","LAL","https://www.basketball-reference.com/teams/LAL/draft.html","6","10934"
"335","Nik Stauskas","https://www.basketball-reference.com/players/s/stausni01.html","SAC","https://www.basketball-reference.com/teams/SAC/draft.html","5","6662"
"335","Noah Vonleh","https://www.basketball-reference.com/players/v/vonleno01.html","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","6","5672"
"387","Elfrid Payton","https://www.basketball-reference.com/players/p/paytoel01.html","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","6","11350"
"410","Doug McDermott","https://www.basketball-reference.com/players/m/mcderdo01.html","DEN","https://www.basketball-reference.com/teams/DEN/draft.html","6","8170"
"306","Dario Šarić","https://www.basketball-reference.com/players/s/saricda01.html","ORL","https://www.basketball-reference.com/teams/ORL/draft.html","4","8094"
"353","Zach LaVine","https://www.basketball-reference.com/players/l/lavinza01.html","MIN","https://www.basketball-reference.com/teams/MIN/draft.html","6","10857"
"328","T.J. Warren","https://www.basketball-reference.com/players/w/warretj01.html","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","6","9436"
"107","Adreian Payne","https://www.basketball-reference.com/players/p/paynead01.html","ATL","https://www.basketball-reference.com/teams/ATL/draft.html","4","1403"
"318","Jusuf Nurkić","https://www.basketball-reference.com/players/n/nurkiju01.html","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","6","7356"
"95","James Young","https://www.basketball-reference.com/players/y/youngja01.html","BOS","https://www.basketball-reference.com/teams/BOS/draft.html","4","812"
"186","Tyler Ennis","https://www.basketball-reference.com/players/e/ennisty01.html","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","4","2336"
"368","Gary Harris","https://www.basketball-reference.com/players/h/harriga01.html","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","6","10663"
"99","Bruno Caboclo","https://www.basketball-reference.com/players/c/cabocbr01.html","TOR","https://www.basketball-reference.com/teams/TOR/draft.html","6","1257"
"52","Mitch McGary","https://www.basketball-reference.com/players/m/mcgarmi01.html","OKC","https://www.basketball-reference.com/teams/OKC/draft.html","2","557"
"32","Jordan Adams","https://www.basketball-reference.com/players/a/adamsjo01.html","MEM","https://www.basketball-reference.com/teams/MEM/draft.html","2","263"
"341","Rodney Hood","https://www.basketball-reference.com/players/h/hoodro01.html","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","6","9326"
"345","Shabazz Napier","https://www.basketball-reference.com/players/n/napiesh01.html","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","6","5986"
"334","Clint Capela","https://www.basketball-reference.com/players/c/capelca01.html","HOU","https://www.basketball-reference.com/teams/HOU/draft.html","6","8674"
"111","P.J. Hairston","https://www.basketball-reference.com/players/h/hairspj02.html","MIA","https://www.basketball-reference.com/teams/MIA/draft.html","2","2000"
"209","Bogdan Bogdanović","https://www.basketball-reference.com/players/b/bogdabo01.html","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","3","5888"
"66","C.J. Wilcox","https://www.basketball-reference.com/players/w/wilcocj01.html","LAC","https://www.basketball-reference.com/teams/LAC/draft.html","3","376"
